customerid,firstpurchasedate,lastpurchasedate,totalpurchases,totalrevenue,referralsource,churnindicator,discountsused,productcategory,responsetolastcampaign,feedbackscore,preferredpaymentmethod,supportticketsraised,hasloyaltycard,frequency
8519,2021-12-31,2022-03-06,7,11670,Online advertisements,0,2,Q02,ignored,4.72999831098997,debit card,0,no,7
38152,2019-09-27,2023-02-02,20,5260,Traditional media outreach,1,6,F76,purchased,4.184511995598712,cash,0,no,2
19680,2021-06-13,2022-02-04,29,9790,Influencer endorsements,0,2,X04,opened mail,4.346639694369886,google pay,0,no,4
35744,2021-07-28,2022-08-21,15,9591,Influencer endorsements,0,5,A25,ignored,5.0,debit card,0,no,13
11663,2021-01-19,2022-03-10,13,10134,Word of mouth,0,3,A16,ignored,4.48208934452448,credit card,0,no,11
23498,2021-05-31,2022-02-03,8,10665,Word of mouth,1,2,O25,ignored,5.0,credit card,0,no,7
22735,2021-09-21,2021-12-14,29,4866,Word of mouth,0,4,V08,ignored,1.9612079012228598,credit card,0,yes,29
41296,2019-06-28,2023-07-31,25,8826,In-store promotions,0,2,S31,opened mail,5.0,cash,0,no,21
14351,2019-06-05,2019-06-13,7,9978,Influencer endorsements,0,4,Y30,ignored,5.0,debit card,0,no,7
22571,2020-05-15,2023-06-30,26,6085,Influencer endorsements,1,6,C86,ignored,5.0,apple pay,0,no,17
48685,2021-02-22,2022-06-26,19,5169,Word of mouth,0,2,U75,ignored,5.0,credit card,0,no,6
42107,2019-12-31,2020-06-26,23,11349,Traditional media outreach,0,4,Z35,purchased,5.0,cash,1,no,11
6570,2022-12-19,2023-02-25,11,6833,In-store promotions,0,2,V68,opened mail,5.0,cash,0,no,11
10665,2019-05-02,2022-09-01,16,9711,Online advertisements,0,6,P70,ignored,4.3197772890489,credit card,0,no,11
29156,2022-05-21,2022-12-01,24,9451,Online advertisements,1,2,F20,ignored,4.341985805287985,credit card,0,no,8
13721,2022-03-03,2022-08-27,21,10820,Online advertisements,0,1,G12,ignored,1.8995852164620959,credit card,0,yes,13
8929,2021-06-24,2022-08-05,4,5584,Online advertisements,1,4,Q33,ignored,1.741812909266515,debit card,0,yes,1
36713,2019-06-14,2020-01-27,10,8955,Email campaigns,1,6,F29,ignored,4.972182968187041,debit card,0,no,8
48256,2021-08-06,2022-09-28,24,7785,Social media promotions,1,4,Q61,ignored,2.5990715103352406,debit card,0,yes,2
27531,2020-05-17,2021-03-14,14,10796,Online advertisements,0,4,S13,ignored,4.241713732091318,debit card,0,no,3
48719,2020-01-13,2021-07-30,22,6958,Influencer endorsements,1,0,Z65,ignored,4.327655029921643,debit card,0,no,3
10610,2019-10-14,2023-03-30,23,12249,Word of mouth,0,6,R87,ignored,1.3198359232919672,credit card,0,yes,21
23887,2023-01-11,2023-03-29,2,6447,Online advertisements,1,2,F03,ignored,5.0,debit card,0,no,2
6388,2020-12-03,2021-04-19,24,7147,Online advertisements,1,4,G29,ignored,1.6729641731118157,debit card,0,yes,11
12679,2020-02-24,2020-03-08,12,4589,Social media promotions,1,5,W36,ignored,5.0,debit card,0,no,12
44236,2020-08-19,2022-06-03,30,7134,Influencer endorsements,1,0,K94,opened mail,3.3854241780866445,sezzle,0,no,6
34368,2020-09-06,2021-09-16,6,7405,Online advertisements,1,1,G25,ignored,5.0,credit card,0,no,2
17147,2019-11-07,2022-06-27,2,9058,Email campaigns,1,4,G58,ignored,5.0,debit card,0,no,1
25715,2021-11-01,2022-05-03,28,6299,Influencer endorsements,1,4,K29,ignored,5.0,debit card,0,no,3
41625,2020-05-08,2021-02-26,21,12134,Word of mouth,1,0,N00,ignored,5.0,credit card,0,no,18
27887,2022-10-03,2023-04-11,14,5667,Influencer endorsements,0,2,C67,ignored,1.7854450308522394,debit card,0,yes,1
27535,2019-02-25,2023-03-17,17,5928,Online advertisements,0,5,K03,ignored,5.0,credit card,0,no,12
34232,2019-10-14,2022-02-18,26,7956,Word of mouth,1,1,Z59,ignored,5.0,credit card,0,no,2
40411,2019-06-25,2021-02-20,22,8290,Traditional media outreach,1,4,W07,purchased,5.0,cash,0,no,19
23828,2021-06-09,2022-12-22,29,9793,Traditional media outreach,1,2,R52,purchased,5.0,cash,1,no,22
33912,2021-12-01,2023-06-07,12,11913,In-store promotions,0,6,Q14,opened mail,4.812730049431586,cash,0,no,9
34044,2019-12-20,2020-05-23,25,7012,Online advertisements,1,5,L98,ignored,5.0,debit card,0,no,8
43636,2021-05-13,2022-01-21,17,11441,Word of mouth,0,6,G51,ignored,4.235761512863573,credit card,0,no,10
36708,2020-06-28,2023-05-12,27,10635,Influencer endorsements,0,5,X82,ignored,5.0,apple pay,0,no,22
34386,2022-10-03,2023-03-14,27,9886,Social media promotions,0,1,Q61,ignored,2.0452583138705513,debit card,0,yes,8
35469,2020-07-01,2021-01-03,31,11499,Word of mouth,0,3,T57,ignored,5.0,credit card,0,no,6
19832,2019-12-17,2021-10-06,10,5175,Social media promotions,0,5,N03,ignored,3.752046927805861,debit card,0,no,2
48461,2019-08-12,2019-09-01,28,12626,Word of mouth,1,3,A98,ignored,4.7093779303098895,credit card,0,no,28
27929,2021-09-18,2022-08-15,28,7552,Event sponsorships,1,6,V30,opened mail,5.0,cash,0,no,9
45110,2020-12-21,2021-02-01,16,5985,Online advertisements,1,5,W90,ignored,5.0,credit card,0,no,16
40497,2020-10-23,2021-09-18,19,8343,Influencer endorsements,1,1,M07,ignored,5.0,paypal,0,no,15
34832,2020-04-10,2020-08-19,30,11955,Online advertisements,1,0,T14,ignored,4.313697638069902,debit card,0,no,9
9730,2020-10-29,2023-06-13,30,7473,Email campaigns,0,1,O28,ignored,1.195713414928265,debit card,0,yes,2
42608,2020-05-05,2022-07-25,28,5421,Influencer endorsements,1,1,L25,ignored,5.0,debit card,0,no,15
7705,2020-07-30,2021-05-15,30,8243,Online advertisements,1,0,S23,ignored,5.0,credit card,0,no,16
43029,2022-02-03,2023-04-12,19,12389,Traditional media outreach,0,0,Z64,purchased,5.0,cash,1,no,14
21028,2022-04-03,2022-12-16,12,11273,Influencer endorsements,1,2,N12,opened mail,4.765804088030888,afterpay,0,no,1
40354,2023-02-21,2023-03-23,23,10075,Event sponsorships,0,5,I52,opened mail,5.0,cash,0,no,23
30953,2020-11-11,2023-06-08,22,4561,In-store promotions,1,6,F06,opened mail,4.425449116551817,cash,0,no,20
19989,2019-02-24,2022-10-03,25,8697,Influencer endorsements,0,2,F98,ignored,5.0,debit card,0,no,2
12411,2020-07-03,2021-05-24,14,5395,Event sponsorships,1,0,B26,opened mail,4.9658244244416325,cash,0,no,3
35683,2019-07-20,2021-09-25,5,12029,Word of mouth,1,3,F19,ignored,4.229206211162691,credit card,0,no,1
20617,2021-04-06,2022-08-24,19,5416,Online advertisements,0,6,O47,ignored,5.0,credit card,0,no,15
13501,2020-02-26,2020-06-15,7,12269,Word of mouth,0,3,U10,ignored,5.0,credit card,0,no,2
21470,2020-09-26,2022-01-06,21,10839,Online advertisements,0,1,L44,ignored,4.668953077457304,debit card,0,no,9
49267,2019-12-16,2023-07-05,22,12292,Social media promotions,0,4,S69,ignored,4.437986021561966,debit card,0,no,9
47035,2019-02-17,2021-12-20,11,11263,Online advertisements,0,1,C43,ignored,1.573259570264283,credit card,0,yes,7
36170,2019-10-03,2022-10-26,18,12316,In-store promotions,0,1,W21,opened mail,5.0,cash,0,no,4
18614,2020-10-17,2021-03-21,7,5278,Online advertisements,0,4,L42,ignored,4.773031898705717,debit card,0,no,4
9519,2021-07-06,2022-11-04,25,9287,Online advertisements,0,5,G94,ignored,3.9198941808189645,debit card,0,no,21
43465,2020-08-21,2022-09-17,28,9259,Influencer endorsements,1,0,W50,ignored,5.0,debit card,0,no,7
33791,2021-07-20,2023-03-05,14,10731,Word of mouth,1,3,Z89,ignored,5.0,credit card,0,no,4
45983,2019-02-19,2022-10-29,18,11608,In-store promotions,0,1,Y81,opened mail,5.0,cash,0,no,12
9215,2019-05-06,2022-01-27,26,9676,Word of mouth,1,4,M24,ignored,4.41572789927953,credit card,0,no,26
43160,2019-08-19,2022-11-25,27,6462,Traditional media outreach,1,2,B39,purchased,5.0,eft,1,no,9
24969,2019-03-01,2021-09-16,27,4464,Influencer endorsements,1,1,G74,opened mail,5.0,afterpay,0,no,26
42764,2022-11-26,2023-02-21,21,12406,Online advertisements,1,3,K99,ignored,5.0,credit card,0,no,21
7544,2023-01-25,2023-03-10,2,6968,Word of mouth,0,0,O71,ignored,5.0,credit card,0,no,2
38106,2020-06-26,2022-09-02,29,9863,In-store promotions,1,1,H95,opened mail,4.690917821941033,cash,0,no,20
43868,2021-03-20,2023-08-02,28,6427,Influencer endorsements,0,1,O70,ignored,5.0,apple pay,0,no,26
48978,2019-03-10,2021-12-16,31,7095,Influencer endorsements,1,5,P58,ignored,4.493326276796547,apple pay,0,no,15
15755,2019-08-28,2021-10-30,28,9658,Influencer endorsements,1,4,E90,opened mail,4.165237890210401,afterpay,0,no,3
16915,2022-02-12,2022-03-30,7,10018,Word of mouth,1,2,E56,ignored,4.4146877096494315,credit card,0,no,7
23191,2022-08-30,2023-06-08,12,11136,Online advertisements,0,2,G18,ignored,2.7862939288416984,debit card,0,yes,5
39421,2022-12-10,2022-12-16,29,4791,Word of mouth,1,6,G56,ignored,5.0,credit card,0,no,29
18625,2021-11-25,2022-11-15,16,10292,In-store promotions,0,0,K55,opened mail,5.0,cash,0,no,8
36354,2019-07-09,2021-11-21,19,7961,Influencer endorsements,1,6,Y27,ignored,5.0,debit card,0,no,15
17547,2021-08-25,2022-12-18,16,10584,Online advertisements,0,3,G36,ignored,5.0,debit card,0,no,3
38185,2019-12-14,2020-08-22,14,7499,Word of mouth,1,0,H37,ignored,4.796150508023074,credit card,0,no,2
13639,2020-09-21,2022-03-09,17,10678,Online advertisements,0,1,B49,ignored,1.084213454070687,debit card,0,yes,15
18920,2022-05-09,2023-03-15,18,7504,Online advertisements,0,1,Z02,ignored,5.0,debit card,0,no,4
11350,2020-11-13,2021-01-06,18,11615,Influencer endorsements,1,2,G98,ignored,5.0,apple pay,0,no,18
22722,2020-03-11,2022-09-08,24,6854,Influencer endorsements,0,3,W31,ignored,4.067065628541376,debit card,0,no,8
19740,2021-02-02,2023-01-16,16,7131,In-store promotions,1,4,V76,opened mail,5.0,cash,0,no,4
42434,2022-08-30,2023-06-02,5,12554,Social media promotions,1,3,Z60,ignored,4.499562155934924,debit card,0,no,2
46607,2019-07-15,2021-02-24,30,9456,Word of mouth,1,1,V26,ignored,4.706900901675721,credit card,0,no,8
29822,2019-08-24,2022-02-19,16,12510,Influencer endorsements,1,4,Y11,ignored,3.744750693051905,apple pay,0,no,6
11493,2019-10-05,2021-10-26,22,8240,Influencer endorsements,1,3,C52,opened mail,4.727791488692897,google pay,0,no,21
41573,2019-10-31,2022-11-07,10,5428,Influencer endorsements,1,3,P72,ignored,5.0,debit card,0,no,1
29467,2020-09-12,2021-04-29,12,11785,Influencer endorsements,1,4,Q24,opened mail,5.0,afterpay,0,no,4
49361,2022-06-02,2022-08-21,22,4902,Social media promotions,1,1,X80,ignored,4.57694524264396,debit card,0,no,22
44796,2020-05-04,2022-09-22,30,11310,Email campaigns,1,3,L20,ignored,5.0,debit card,0,no,29
27839,2021-08-20,2023-02-28,31,11338,Social media promotions,1,4,U62,ignored,5.0,debit card,0,no,22
41870,2022-04-24,2022-08-02,18,8888,Word of mouth,1,5,T54,ignored,4.947247876706262,credit card,0,no,3
40849,2020-12-30,2021-11-16,26,4606,Word of mouth,0,5,A08,ignored,3.1928937436813776,credit card,0,no,5
27672,2019-11-26,2022-10-11,12,9534,Word of mouth,0,1,X58,ignored,5.0,credit card,0,no,3
19222,2021-01-23,2022-11-28,26,10377,Influencer endorsements,1,4,P11,ignored,5.0,debit card,0,no,2
17486,2020-01-07,2021-07-19,23,12121,Online advertisements,1,5,I87,ignored,5.0,debit card,0,no,10
13920,2021-07-01,2022-08-04,30,11435,Email campaigns,1,4,W82,ignored,4.288145248611528,debit card,0,no,8
43018,2020-05-10,2022-01-15,4,5884,Event sponsorships,1,3,G17,opened mail,5.0,cash,0,no,4
42810,2020-08-21,2021-04-05,14,12258,Online advertisements,1,1,W46,ignored,4.13122495177729,credit card,0,no,13
13971,2019-09-08,2020-05-18,31,5263,Social media promotions,1,5,E98,ignored,4.882347611839753,debit card,0,no,13
27129,2021-03-08,2023-02-21,27,7190,Influencer endorsements,1,6,Z88,opened mail,5.0,google pay,0,no,16
26775,2019-08-10,2023-04-22,25,11808,Online advertisements,1,3,A73,ignored,4.652065819685278,credit card,0,no,15
25120,2020-02-18,2023-07-05,22,9516,Word of mouth,0,6,Y88,ignored,3.458413831792198,credit card,0,no,8
8030,2019-07-03,2020-06-10,14,10419,Online advertisements,1,6,V27,ignored,4.932956042142078,debit card,0,no,14
8211,2021-01-19,2022-01-03,23,6157,Word of mouth,0,0,C88,ignored,1.830746554720556,credit card,0,yes,1
48363,2019-10-25,2022-04-29,28,11974,Event sponsorships,1,0,F84,opened mail,5.0,cash,0,no,5
40177,2019-02-18,2019-04-22,25,10774,In-store promotions,1,1,H72,opened mail,4.701873354454311,cash,0,no,25
32191,2019-04-09,2021-01-16,30,11292,Influencer endorsements,0,5,A13,ignored,2.5669299521796844,debit card,0,yes,7
12264,2020-07-08,2022-02-07,23,6078,In-store promotions,1,5,W92,opened mail,4.587942238388265,cash,0,no,8
47253,2022-10-22,2022-11-02,21,7642,In-store promotions,0,5,Q39,opened mail,2.3309760694374715,cash,0,yes,21
31159,2022-01-06,2022-04-01,16,9036,Online advertisements,1,4,N91,ignored,5.0,credit card,0,no,16
17671,2020-07-20,2020-11-12,13,5459,In-store promotions,1,3,Z19,opened mail,2.078121430789744,cash,0,yes,2
35695,2023-03-10,2023-05-20,18,11068,Email campaigns,0,5,G14,ignored,5.0,debit card,0,no,18
29150,2022-01-25,2023-05-26,15,7557,In-store promotions,1,3,S36,opened mail,1.695828515362152,cash,0,yes,10
14549,2021-06-24,2022-04-11,21,10315,In-store promotions,0,1,N35,opened mail,4.953216030506186,cash,0,no,15
42875,2021-09-25,2023-04-06,24,7093,Online advertisements,1,6,G70,ignored,5.0,debit card,0,no,23
45025,2020-08-26,2020-09-18,26,8027,Word of mouth,0,5,Y57,ignored,5.0,credit card,0,no,26
24044,2020-03-01,2023-04-16,25,9850,Online advertisements,0,1,T63,ignored,2.606622251809582,credit card,0,yes,12
31068,2019-09-02,2020-03-28,28,6063,Social media promotions,1,5,B63,ignored,5.0,debit card,0,no,10
36993,2019-05-11,2019-11-19,28,9992,In-store promotions,1,0,I87,opened mail,4.69530810809353,cash,0,no,2
22915,2019-10-31,2020-02-17,28,11792,In-store promotions,0,2,H34,opened mail,5.0,cash,0,no,4
43063,2021-12-04,2023-03-28,20,5706,Word of mouth,1,1,K21,ignored,5.0,credit card,0,no,13
49918,2019-09-22,2019-11-10,9,11176,Email campaigns,1,5,K96,ignored,5.0,debit card,0,no,9
29480,2021-06-02,2021-11-17,29,10264,Social media promotions,1,2,X63,ignored,5.0,debit card,0,no,12
11585,2019-03-16,2021-07-12,15,11926,Online advertisements,0,1,O02,ignored,4.049846874114454,credit card,0,no,6
42700,2019-07-06,2021-12-21,14,9975,Word of mouth,0,4,L56,ignored,5.0,credit card,0,no,13
17522,2019-06-18,2023-03-15,35,9930,Online advertisements,0,5,M42,ignored,4.310330007134563,debit card,0,no,1
15822,2019-08-23,2020-03-26,25,8813,Traditional media outreach,0,4,M97,purchased,1.0631052248586785,cash,0,yes,15
38169,2021-03-24,2022-04-13,7,8148,Online advertisements,0,0,E05,ignored,1.0747881645028652,debit card,0,yes,1
48072,2021-08-21,2022-06-05,9,5063,Email campaigns,0,5,Q38,ignored,3.2517587987887535,debit card,0,yes,1
42166,2020-10-02,2021-12-26,24,6398,Influencer endorsements,0,6,T62,ignored,5.0,apple pay,0,no,13
14384,2022-01-10,2023-06-19,8,12394,Online advertisements,0,0,F02,ignored,5.0,debit card,0,no,1
6114,2020-06-07,2020-06-20,12,5895,Traditional media outreach,0,2,M80,purchased,5.0,cash,1,no,12
20854,2019-07-06,2020-03-16,8,7704,Traditional media outreach,1,1,K61,purchased,1.8046957850398324,cash,1,yes,6
45414,2022-10-28,2023-06-20,24,8163,Online advertisements,0,3,S42,ignored,4.173845997823153,credit card,0,no,3
45244,2021-04-18,2021-07-06,31,9632,Social media promotions,1,0,R07,ignored,5.0,debit card,0,no,31
35822,2019-05-13,2021-06-18,18,6253,Online advertisements,1,3,U14,ignored,4.688037133553129,debit card,0,no,11
46014,2019-06-14,2020-12-18,20,10985,Online advertisements,1,3,E95,ignored,5.0,debit card,0,no,19
33455,2021-01-29,2023-03-31,26,5691,Word of mouth,0,1,B28,ignored,5.0,credit card,0,no,17
33932,2020-10-11,2023-05-24,9,7981,Influencer endorsements,0,2,L86,ignored,5.0,debit card,0,no,8
15598,2019-10-28,2021-09-21,6,11954,Email campaigns,0,1,Z59,ignored,5.0,debit card,0,no,3
34908,2020-06-07,2020-10-08,4,11680,Word of mouth,0,5,X67,ignored,5.0,credit card,0,no,3
30837,2020-05-19,2023-02-28,2,6036,Online advertisements,1,0,N85,ignored,4.883992550072409,credit card,0,no,1
